#OTUID	CK12	DA21	CK31	DA23	DA13	DA12	A11	AD32	A21	CK21	AD22	CK22	AD21	AD12	DA22	A23	CK23	AD33	AD31	DA11	CK33	AD23	A22	AD11	AD13	CK13	A13	A12	CK11	CK32
NCBI100234	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1003110	0	4	0	0	0	0	0	0	0	11	0	0	0	0	0	10	0	0	0	0	14	0	0	0	0	0	0	0	0	0
NCBI1004901	15	2	2	10	7	0	0	33	7	6	9	2	33	0	19	34	21	11	13	5	14	18	35	0	0	13	0	4	0	2
NCBI1006	22	7	2	7	21	23	18	5	15	10	11	6	10	23	2	7	5	2	4	15	4	11	16	11	29	24	21	7	27	1
NCBI1006155	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1007105	0	7	0	8	0	0	0	44	0	0	0	0	0	0	3	0	0	19	0	0	43	0	0	0	0	0	0	0	0	5
NCBI100716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
NCBI1008	3	16	2	6	3	0	0	1	2	8	0	5	3	0	6	0	7	6	1	0	1	1	0	2	30	0	0	2	2	13
NCBI1009682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NCBI1010	0	0	0	7	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI101385	1830	105	469	448	2009	1272	937	33	3870	407	490	194	1249	1270	113	281	670	25	537	2049	39	1418	1701	861	1354	1373	1229	1030	1203	22
NCBI1014	0	0	0	0	2	0	0	0	0	14	11	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NCBI101564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	121	0
NCBI101571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	3	0	0	0	9	0	0	0	0	0	0	0	0	5
NCBI1016987	0	0	0	0	0	0	0	0	0	6	0	1	0	0	8	0	0	0	17	0	0	0	0	0	0	0	3	0	0	3
NCBI1017	0	0	5	6	3	0	0	5	2	34	5	20	11	0	8	0	28	15	0	3	9	2	9	5	4	0	0	0	0	6
NCBI1019	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI102116	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0
NCBI102134	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI102684	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1027273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0
NCBI102862	0	4	34	5	9	0	0	126	16	0	615	0	77	0	0	9	0	67	339	0	70	48	0	0	0	0	0	0	0	64
