name	CK12	DA21	CK31	DA23	DA13	DA12	A11	AD32	A21	CK21	AD22	CK22	AD21	AD12	DA22	A23	CK23	AD33	AD31	DA11	CK33	AD23	A22	AD11	AD13	CK13	A13	A12	CK11	CK32
Granulicella_tundricola	0	0	0	0	0	0	0	0	0	4.63E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paludibaculum_fermentans	0	0	0	0	0	0	0	0	0	0	0	7.28E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bryobacterales_bacterium_F-183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93E-07	0
Chloracidobacterium_aggregatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloracidobacterium_sp._D	5.12E-07	0	0	5.50E-07	0	0	8.80E-07	0	0	0	0	7.28E-07	0	3.25E-07	0	0	0	0	0	2.24E-06	0	0	0	0	0	0	0	0	0	0
Chloracidobacterium_validum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25E-06	0	0	0	0	0	0	0	0	0
Sulfidibacter_corallicola	0	1.41E-06	8.61E-06	0	0	0	2.93E-07	0	2.12E-06	1.54E-06	6.10E-07	1.46E-06	7.55E-07	0	2.56E-06	2.88E-06	8.20E-07	5.69E-07	0	0	4.17E-06	3.38E-07	8.73E-07	0	3.23E-07	0	0	0	4.93E-07	6.71E-07
Geothrix_fermentans	0	0	0	0	0	0	0	0	0	7.72E-05	0	0	0	0	0	0	0	0	0	7.84E-06	0	0	0	0	0	0	0	0	0	0
uncultured_Geothrix_sp.	0	0	0	0	0	0	0	0	0	0.00013747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holophagales_bacterium	5.12E-06	5.64E-06	2.30E-06	4.40E-06	1.01E-06	3.19E-06	0	1.76E-06	0	1.31E-05	9.15E-07	4.37E-06	1.01E-06	1.62E-06	2.05E-06	2.40E-06	6.56E-06	5.69E-07	1.02E-06	6.72E-06	8.33E-07	1.69E-07	8.73E-07	6.89E-07	9.70E-07	7.61E-06	1.37E-06	1.00E-06	4.93E-07	1.34E-06
Luteitalea_pratensis	1.54E-06	0	0	0	9.57E-06	0	0	0	0	0	0	1.46E-06	0	1.62E-06	0	0	0	0	0	1.68E-06	4.17E-07	0	0	0	0	2.54E-06	0	1.34E-06	2.47E-06	0
Luteitalea_sp._TBR-22	6.66E-06	0	8.61E-07	0	0	4.79E-06	2.64E-06	0	0	0	9.15E-07	0	0	6.50E-07	3.07E-06	0	0	0	0	5.60E-06	8.33E-07	0	0	4.48E-06	1.94E-06	3.04E-06	2.46E-06	1.34E-06	0	0
Acidobacteria_bacterium	1.02E-06	1.41E-06	1.15E-06	3.30E-06	4.03E-06	1.06E-06	2.93E-07	8.79E-07	4.23E-07	1.24E-05	0	7.28E-06	2.52E-07	1.30E-06	5.12E-07	1.44E-06	8.20E-06	5.69E-07	1.02E-06	2.24E-06	1.67E-06	0	0	6.89E-07	6.46E-07	1.52E-06	2.73E-07	6.68E-07	1.48E-06	2.01E-06
Acidobacteria_bacterium_Mor1	3.59E-06	1.97E-05	7.17E-06	1.04E-05	4.53E-06	9.05E-06	2.05E-06	7.91E-06	1.69E-06	2.09E-05	1.22E-06	1.38E-05	2.52E-06	4.55E-06	1.43E-05	4.81E-07	2.05E-05	6.26E-06	1.84E-05	6.16E-06	8.33E-06	1.69E-06	8.73E-07	1.03E-06	6.46E-07	6.09E-06	2.73E-06	1.00E-06	3.45E-06	1.54E-05
