Genus	AD11	AD12	AD13	AD21	AD22	AD23	AD31	AD32	AD33	A11	A12	A13	A21	A22	A23	CK11	CK12	CK13	CK21	CK22	CK23	CK31	CK32	CK33	DA11	DA12	DA13	DA21	DA22	DA23
Cellulophaga	0.37322942	0.323362769	0.36173752	0.030099029	0.063699616	0.058483442	0.011849258	0.012569501	0.016941421	0.380645403	0.398558801	0.391657409	0.087484144	0.044043483	0.022308386	0.349162273	0.335268484	0.333526874	0.06947199	0.081366566	0.072086756	0.052241521	0.031557728	0.030617045	0.325056302	0.323205868	0.307300212	0.133982806	0.066376485	0.179725531
unclassified	0.075372387	0.081870729	0.074256086	0.067271504	0.088730619	0.021270775	0.200683666	0.137977477	0.292588463	0.059942593	0.072625724	0.080387246	0.089728759	0.145787089	0.192656819	0.150231179	0.158323947	0.14906946	0.314372455	0.282585674	0.326440779	0.076448753	0.372580762	0.130204737	0.169608744	0.177286703	0.16800166	0.237436358	0.181709848	0.202802949
Tritonibacter	0.046206422	0.091728867	0.046127091	0.20099422	0.333728109	0.495218716	0.153830991	0.13833265	0.0486107	0.052551591	0.053331184	0.055378057	0.252557084	0.171566862	0.166651362	0.010681169	0.011372103	0.018245186	0.054539459	0.085550837	0.055373674	0.38082759	0.035745038	0.122123584	0.026961042	0.02638967	0.026774896	0.06592779	0.079212821	0.068444649
Leisingera	0.004210644	0.004586427	0.004712302	0.310736359	0.172129173	0.141983954	0.204475286	0.213985708	0.095064784	0.001694541	0.00209314	0.002702248	0.02929847	0.091906984	0.103827117	0.002993785	0.002801006	0.003328048	0.017072591	0.013177287	0.016634333	0.206253088	0.10003742	0.285621306	0.004752888	0.004128442	0.004413887	0.037855739	0.106555164	0.055996869
Vibrio	0.068936452	0.042954497	0.056551822	0.150901767	0.104369964	0.109166086	0.089704872	0.145923583	0.030144215	0.056174372	0.043342789	0.028637603	0.024068791	0.008338037	0.004170623	0.031169682	0.010034631	0.010370041	0.001451935	0.001258411	0.001816176	0.097662107	0.047851623	0.117633823	0.004492387	0.003546724	0.02299401	0.001929099	0.032053184	0.001459789
Sulfitobacter	0.056898851	0.0440297	0.045606986	0.021706268	0.016234101	0.013976452	0.01314275	0.014404266	0.014802459	0.036424568	0.045888537	0.048114944	0.023290686	0.035961249	0.035190442	0.050022487	0.062869919	0.055209183	0.038605247	0.033033833	0.032492648	0.013311639	0.010914234	0.01506518	0.054999944	0.052984778	0.058901347	0.025301087	0.025285865	0.031582777
Gimesia	0.002167375	0.003038772	0.002140868	0.015199071	0.015765921	0.005601119	0.082410663	0.097567816	0.185062916	0.00193	0.001837798	0.003305663	0.013452459	0.030680187	0.024204036	0.002490793	0.005468776	0.004202275	0.02978706	0.021326754	0.02171782	0.041901668	0.069447388	0.065142579	0.001743958	0.004418503	0.004951712	0.056185701	0.056204246	0.033747728
Arenibacter	0.03099722	0.027274538	0.033070803	0.00612374	0.007929168	0.006372738	0.001762784	0.002015868	0.001456157	0.030559797	0.025623027	0.029351152	0.029755855	0.03827657	0.030758284	0.031805818	0.040934857	0.035191202	0.016573681	0.017574084	0.019060002	0.002729063	0.002133221	0.002396762	0.03539008	0.028491413	0.037365204	0.010318139	0.007342661	0.012928696
Muricauda	0.002925456	0.005022812	0.004353174	0.01094881	0.030112052	0.040076895	0.003835536	0.004239212	0.00232632	0.002419391	0.006340169	0.004620714	0.061483418	0.030428749	0.038757707	0.008875331	0.006100104	0.012763517	0.029702879	0.060730519	0.030914363	0.009274279	0.003043914	0.005503968	0.009538829	0.010405462	0.010201543	0.033923509	0.026900718	0.054279309
Marinobacter	0.004340955	0.014042623	0.00444336	0.005152633	0.009186697	0.006015047	0.004892594	0.003905579	0.005325195	0.001709202	0.008552135	0.014535517	0.055427822	0.056047008	0.03282124	0.005429347	0.017010498	0.005872638	0.040548368	0.0340426	0.029463227	0.005969681	0.009367129	0.006972359	0.03132794	0.023096284	0.025575366	0.021921639	0.009466766	0.02116859
