name	A11	A12	A13	A21	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	CK11	CK12	CK13	CK21	CK22	CK23	DA11	DA12	DA13	DA21	DA22	DA23	taxonomy
Acidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.63E-06	0	0	0	0	0	0	0	0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae
Bryobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.28E-07	0	0	0	0	0	0	0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae
Acanthopleuribacteraceae	2.93E-07	0	0	2.12E-06	8.73E-07	2.88E-06	0	0	3.23E-07	7.55E-07	6.10E-07	3.38E-07	4.93E-07	0	0	1.54E-06	1.46E-06	8.20E-07	0	0	0	1.41E-06	2.56E-06	0	k__Bacteria;p__Acidobacteria;c__Holophagae;o__Acanthopleuribacterales;f__Acanthopleuribacteraceae
Holophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000214701	0	0	7.84E-06	0	0	0	0	0	k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae
Vicinamibacteraceae	2.64E-06	2.67E-06	2.46E-06	0	0	0	4.48E-06	2.27E-06	1.94E-06	0	9.15E-07	0	2.47E-06	8.20E-06	5.58E-06	0	1.46E-06	0	7.28E-06	4.79E-06	9.57E-06	0	3.07E-06	0	k__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae
Acidimicrobiaceae	0	3.34E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae
Iamiaceae	4.05E-05	3.91E-05	5.58E-05	0.000305488	0.000696255	0.000625954	6.10E-05	6.14E-05	4.27E-05	3.60E-05	3.97E-05	1.06E-05	0.00019232	0.000192678	0.000215007	0.000287298	0.000322427	0.000479884	0.000216244	0.000295915	0.00024474	5.43E-05	3.13E-05	4.23E-05	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae
Ilumatobacteraceae	0.000657408	0.00054473	0.000799634	0.001016741	0.002278653	0.001975938	0.001087307	0.000985521	0.000684638	0.000948951	0.000546261	0.000278823	0.00065093	0.000886524	0.001434565	0.000392331	0.001157971	0.00093926	0.001353486	0.001436466	0.001621531	0.000589447	0.000163944	0.000367146	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae
Actinomycetaceae	1.38E-05	5.67E-05	8.06E-05	7.87E-05	0.00021477	0.000154806	6.48E-05	8.06E-05	7.47E-05	4.88E-05	3.84E-05	1.23E-05	5.67E-05	2.87E-05	2.48E-05	7.34E-05	7.57E-05	8.04E-05	0.000123808	1.54E-05	5.94E-05	7.54E-05	9.63E-05	8.08E-05	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae
Bifidobacteriaceae	2.55E-05	0.000126169	8.36E-05	0.000138781	0.000324337	0.002758621	6.69E-05	0.000133547	8.37E-05	0.000100711	3.45E-05	4.07E-05	0.000194786	0.000714856	0.00011866	0.00197942	0.000265656	0.001086096	0.000122127	0.000194793	0.000172728	0.000288378	0.001357665	0.000518841	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae
Candidatus_Actinomarinaceae	2.93E-07	0	0	4.23E-07	0	0	0	3.25E-07	0	5.04E-07	0	1.69E-07	0	0	0	0	7.28E-07	0	0	0	0	0	1.02E-06	5.50E-07	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Candidatus_Actinomarinales;f__Candidatus_Actinomarinaceae
Candidatus_Nanopelagicaceae	0	0	0	0	0	0	0	0	0.000182635	0	0	0	0	0.000251096	0	0	2.18E-06	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Candidatus_Nanopelagicales;f__Candidatus_Nanopelagicaceae
Catenulisporaceae	0	0	0	0	0	0	0	0	0	2.52E-07	0	0	0	0	0	5.41E-06	3.64E-06	9.02E-06	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Catenulisporales;f__Catenulisporaceae
Corynebacteriaceae	2.70E-05	1.57E-05	1.64E-06	0.000185747	0.000116115	0.001017776	0.000229596	0.000244674	6.40E-05	5.36E-05	2.29E-05	6.03E-05	7.35E-05	6.41E-05	0.000271802	0.000502771	0.000403216	0.00049465	0.000337811	1.28E-05	0.000202943	0.000119159	0.00027307	0.000213802	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae
Dietziaceae	7.42E-05	2.34E-05	0.000102209	8.04E-06	3.45E-05	1.92E-05	0.000115143	0.000158567	0.000324217	1.69E-05	1.71E-05	5.74E-06	0.000263824	0.000108638	8.01E-05	0.000266445	0.000570615	0.000269063	0.001052089	0.000157538	0.000148053	0.00043997	0.000234645	0.000186321	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Dietziaceae
