Family	A11	A12	A13	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	taxonomy
Acidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae
Bryobacteraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae
Acanthopleuribacteraceae	2.93E-07	0	0	8.73E-07	2.88E-06	0	0	3.23E-07	7.55E-07	6.10E-07	3.38E-07	k__Bacteria;p__Acidobacteria;c__Holophagae;o__Acanthopleuribacterales;f__Acanthopleuribacteraceae
Holophagaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae
Vicinamibacteraceae	2.64E-06	2.67E-06	2.46E-06	0	0	4.48E-06	2.27E-06	1.94E-06	0	9.15E-07	0	k__Bacteria;p__Acidobacteria;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae
Acidimicrobiaceae	0	3.34E-07	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae
Iamiaceae	4.05E-05	3.91E-05	5.58E-05	0.000696255	0.000625954	6.10E-05	6.14E-05	4.27E-05	3.60E-05	3.97E-05	1.06E-05	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae
Ilumatobacteraceae	0.000657408	0.00054473	0.000799634	0.002278653	0.001975938	0.001087307	0.000985521	0.000684638	0.000948951	0.000546261	0.000278823	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae
Actinomycetaceae	1.38E-05	5.67E-05	8.06E-05	0.00021477	0.000154806	6.48E-05	8.06E-05	7.47E-05	4.88E-05	3.84E-05	1.23E-05	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae
Bifidobacteriaceae	2.55E-05	0.000126169	8.36E-05	0.000324337	0.002758621	6.69E-05	0.000133547	8.37E-05	0.000100711	3.45E-05	4.07E-05	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae
Candidatus_Actinomarinaceae	2.93E-07	0	0	0	0	0	3.25E-07	0	5.04E-07	0	1.69E-07	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Candidatus_Actinomarinales;f__Candidatus_Actinomarinaceae
Candidatus_Nanopelagicaceae	0	0	0	0	0	0	0	0.000182635	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Candidatus_Nanopelagicales;f__Candidatus_Nanopelagicaceae
Catenulisporaceae	0	0	0	0	0	0	0	0	2.52E-07	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Catenulisporales;f__Catenulisporaceae
Corynebacteriaceae	2.70E-05	1.57E-05	1.64E-06	0.000116115	0.001017776	0.000229596	0.000244674	6.40E-05	5.36E-05	2.29E-05	6.03E-05	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae
Dietziaceae	7.42E-05	2.34E-05	0.000102209	3.45E-05	1.92E-05	0.000115143	0.000158567	0.000324217	1.69E-05	1.71E-05	5.74E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Dietziaceae
Gordoniaceae	0.000174175	6.07E-05	2.65E-05	8.56E-05	0.000238939	0.002322163	1.85E-05	0	3.15E-05	3.29E-05	1.57E-05	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae
Lawsonellaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Lawsonellaceae
Mycobacteriaceae	0.000845071	0.000905214	0.000965791	0.001156351	0.001447579	0.000294407	0.000292115	7.40E-05	0.000251022	0.000243698	5.91E-05	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae
Nocardiaceae	6.42E-05	0.000113486	0.000247324	8.69E-05	0.000189902	5.52E-05	4.68E-05	0.000108934	6.82E-05	7.08E-05	4.10E-05	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae
Tsukamurellaceae	0	0	0	2.62E-06	1.15E-05	4.83E-06	1.10E-05	0	2.27E-06	1.83E-06	1.01E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Tsukamurellaceae
Frankiaceae	0	1.34E-06	0	1.31E-06	1.44E-06	8.27E-06	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Frankiales;f__Frankiaceae
Geodermatophilaceae	8.77E-05	8.51E-05	0.000154133	4.80E-05	2.69E-05	0.000136517	0.00021608	7.31E-05	1.03E-05	5.19E-06	2.70E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Geodermatophilales;f__Geodermatophilaceae
Glycomycetaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Glycomycetales;f__Glycomycetaceae
Jiangellaceae	0	0	0	0	1.44E-06	0	0	4.20E-06	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Jiangellales;f__Jiangellaceae
Kineosporiaceae	0	0	7.11E-06	0	0	3.45E-06	0	1.00E-05	2.27E-06	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Kineosporiales;f__Kineosporiaceae
Beutenbergiaceae	0	1.23E-05	1.45E-05	3.14E-05	5.53E-05	0	5.59E-05	0	1.01E-05	7.02E-06	6.08E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Beutenbergiaceae
Bogoriellaceae	0	0	4.10E-06	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Bogoriellaceae
Brevibacteriaceae	0.000101455	0.000144861	4.35E-05	8.64E-05	0.000167306	0.000359908	9.78E-05	0.000143522	7.15E-05	4.88E-06	8.78E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Brevibacteriaceae
Cellulomonadaceae	0	8.01E-06	3.28E-06	8.29E-06	2.55E-05	0	2.11E-05	1.26E-05	6.29E-06	4.58E-06	3.21E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Cellulomonadaceae
Dermabacteraceae	4.72E-05	0	5.47E-06	0	0.000209132	0	1.62E-06	0	1.26E-06	3.05E-07	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Dermabacteraceae
Dermacoccaceae	1.47E-06	2.27E-05	8.20E-06	7.42E-06	1.68E-05	2.52E-05	0	4.20E-06	2.17E-05	6.41E-06	1.69E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Dermacoccaceae
Dermatophilaceae	0	1.13E-05	1.39E-05	6.15E-05	8.37E-05	4.83E-06	2.53E-05	1.49E-05	3.02E-05	1.22E-05	5.91E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Dermatophilaceae
Intrasporangiaceae	9.03E-05	0.00090755	5.14E-05	6.68E-05	6.63E-05	0.001573734	0.000164091	0.000102793	1.89E-05	1.74E-05	4.90E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Intrasporangiaceae
Jonesiaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Jonesiaceae
Kytococcaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Kytococcaceae
Microbacteriaceae	0.000365943	0.000263019	0.000243498	0.000451802	0.000813452	0.000194088	0.000388945	0.00024987	0.00028325	0.000129321	8.71E-05	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae
Micrococcaceae	0.000487631	0.000742996	0.001264219	0.000729867	0.000928354	0.000511593	0.001514512	0.00092966	0.000638257	0.000350754	0.000227314	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae
Ornithinimicrobiaceae	3.52E-05	8.34E-06	4.95E-05	2.66E-05	1.25E-05	1.72E-05	2.99E-05	1.49E-05	5.29E-06	5.49E-06	1.01E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Ornithinimicrobiaceae
Promicromonosporaceae	8.06E-05	3.74E-05	1.28E-05	0	7.69E-06	0	3.57E-06	1.62E-05	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Promicromonosporaceae
Ruaniaceae	1.47E-06	0	0	0	9.62E-07	1.38E-06	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Ruaniaceae
Micromonosporaceae	4.28E-05	0.000659885	4.04E-05	4.58E-05	0.000140864	5.21E-05	5.46E-05	4.01E-05	2.29E-05	1.19E-05	4.05E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micromonosporales;f__Micromonosporaceae
Nakamurellaceae	1.23E-05	1.77E-05	5.74E-05	7.42E-05	0.000143268	6.55E-06	7.47E-06	0	2.06E-05	1.92E-05	1.03E-05	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Nakamurellales;f__Nakamurellaceae
