"spec"	"env"	"r"	"p"	"rd"	"pd"
"Genus_Abun"	"TOC"	0.635380284640311	0.013	">= 0.4"	"0.01 - 0.05"
"Genus_Abun"	"TN"	0.54027930216428	0.012	">= 0.4"	"0.01 - 0.05"
"Genus_Abun"	"DA"	0.82554423624862	0.001	">= 0.4"	"< 0.01"
"Genus_Abun"	"pH"	0.65589786117663	0.012	">= 0.4"	"0.01 - 0.05"
"Genus_Abun"	"Ferrous"	0.77139358908853	0.011	">= 0.4"	"0.01 - 0.05"
"Genus_Abun"	"Fe"	0.216246750586411	0.108	"0.2 - 0.4"	">= 0.05"
"Genus_Abun"	"Ferric"	0.298288706042796	0.06	"0.2 - 0.4"	">= 0.05"
"Genus_Abun"	"Mn"	-0.159157852506108	1	"< 0.2"	">= 0.05"
"Genus_Abun"	"Al"	0.027790754160685	0.56	"< 0.2"	">= 0.05"
"Genus_Abun"	"Cu"	-0.0829381466130264	0.656	"< 0.2"	">= 0.05"
"Genus_Abun"	"Zn"	0.29251058782962	0.085	"0.2 - 0.4"	">= 0.05"
"Alpha_div"	"TOC"	0.0569493394036542	0.39	"< 0.2"	">= 0.05"
"Alpha_div"	"TN"	0.0702236921458143	0.348	"< 0.2"	">= 0.05"
"Alpha_div"	"DA"	-0.140512701839223	0.697	"< 0.2"	">= 0.05"
"Alpha_div"	"pH"	0.0360034227292389	0.419	"< 0.2"	">= 0.05"
"Alpha_div"	"Ferrous"	-0.137872288413454	0.698	"< 0.2"	">= 0.05"
"Alpha_div"	"Fe"	0.165891028505723	0.254	"< 0.2"	">= 0.05"
"Alpha_div"	"Ferric"	-0.246886356899922	0.954	"< 0.2"	">= 0.05"
"Alpha_div"	"Mn"	-0.0801046806394383	0.421	"< 0.2"	">= 0.05"
"Alpha_div"	"Al"	-0.176296619309636	0.778	"< 0.2"	">= 0.05"
"Alpha_div"	"Cu"	-0.178485958501463	1	"< 0.2"	">= 0.05"
"Alpha_div"	"Zn"	-0.199985414927467	0.926	"< 0.2"	">= 0.05"
"Beta_div"	"TOC"	0.597105223168677	0.016	">= 0.4"	"0.01 - 0.05"
"Beta_div"	"TN"	0.639549750910087	0.017	">= 0.4"	"0.01 - 0.05"
"Beta_div"	"DA"	-0.0560541928572151	0.622	"< 0.2"	">= 0.05"
"Beta_div"	"pH"	0.579454441483782	0.016	">= 0.4"	"0.01 - 0.05"
"Beta_div"	"Ferrous"	-0.0549783004328298	0.61	"< 0.2"	">= 0.05"
"Beta_div"	"Fe"	0.223411914081223	0.114	"0.2 - 0.4"	">= 0.05"
"Beta_div"	"Ferric"	-0.200379036182038	0.969	"< 0.2"	">= 0.05"
"Beta_div"	"Mn"	-0.118410168756633	0.746	"< 0.2"	">= 0.05"
"Beta_div"	"Al"	-0.190143771665913	1	"< 0.2"	">= 0.05"
"Beta_div"	"Cu"	-0.0528912037169061	0.566	"< 0.2"	">= 0.05"
"Beta_div"	"Zn"	-0.20083566715064	1	"< 0.2"	">= 0.05"
