OTUID	AD11	AD12	AD13	AD21	AD22	AD23	AD31	AD32	AD33	CK11	CK12	CK13	CK21	CK22	CK23	CK31	CK32	CK33
OTU4837	134033	282301	142699	798300	1094179	2932347	301242	314700	85360	21660	22192	35980	70619	117543	67503	1327354	53302	293085
OTU6009	1027511	946076	1063525	116956	204185	339716	22971	28303	29291	684372	634364	636291	88840	110366	86573	181104	46478	73030
OTU712	7819	9346	8787	767642	351832	534808	248118	297834	100154	3623	3170	3843	14399	11769	12793	468743	89728	416546
OTU6030	57975	68227	54033	86980	90973	30690	195204	148460	272327	103118	100362	100960	279042	254861	276420	80630	265543	141799
OTU1093	1661	1029	1633	6677	7218	4783	206323	226172	103063	3033	3339	2519	91560	55707	92555	281740	161982	169342
OTU2849	2333	2898	2933	239943	112945	176965	72727	90507	31568	1009	1242	1224	4253	3117	3804	141171	30181	130345
OTU2072	1297	1123	1321	37151	99627	15108	84052	71864	145136	4096	2892	3908	26805	16833	25923	82509	210055	70305
OTU2879	92988	100787	104275	60230	29529	32741	26818	22914	19821	82406	79908	85819	18505	32288	18063	41113	17078	26389
OTU364	1232	1334	497	27741	25827	14539	112463	161566	214821	782	5646	1545	8875	6751	8428	99992	54017	114838
OTU5761	16028	14813	24520	156758	85425	153474	41331	86008	15081	9484	2489	2248	182	246	149	85560	19493	73363
OTU5673	89782	83907	102199	23638	25618	37735	3452	4586	2146	64063	79749	69216	21333	24146	23235	9512	3181	5566
OTU691	92922	106227	99957	23375	16384	21920	5812	7125	3148	61995	74488	70723	12776	14214	11539	11371	2839	5795
OTU1974	5048	11167	9917	37892	93171	231440	6536	8579	3049	13021	7581	20303	32853	75043	31055	31326	3880	12307
OTU341	0	0	0	126967	66846	135259	28238	57983	6805	0	0	0	0	0	0	61226	11456	52330
OTU3334	130067	163120	164233	352	651	547	77	97	104	20315	19155	20406	264	268	315	81	170	144
OTU4472	163868	92433	116892	7706	6164	12407	1998	4004	1281	46785	14069	14423	1161	988	1244	6180	1579	3552
OTU2850	1366	1037	1840	117037	51824	83261	31517	40953	14666	751	519	761	1903	1184	1709	64069	13691	64204
OTU1863	24487	38905	38592	25789	7245	7304	24810	38027	90633	27197	20518	36950	3787	4453	3380	15176	34622	48165
OTU4015	87702	110952	108134	10076	30745	29755	1051	1858	619	35322	17813	26125	2704	2566	2706	2525	1021	2176
OTU3180	3859	3718	5076	29771	23770	16777	43510	46988	94852	3709	3946	4691	26502	20134	15813	38323	45710	37161
OTU5850	0	64	0	96771	45258	49671	48364	72176	12722	0	0	0	0	0	0	54523	15980	56881
OTU3048	75177	60620	81078	12168	21891	43916	1032	1312	2025	48696	39584	46700	1857	2529	1640	5556	3010	3027
OTU6260	25081	26657	21225	10898	11660	12779	20215	23123	32787	35048	35286	44026	29309	30828	29584	15379	11750	15906
OTU6085	62151	18535	29373	14913	11856	17709	7461	9576	17206	28397	34930	28249	31064	25150	22722	8330	7988	6567
OTU5332	21	96	74	76214	40965	73552	22058	43855	6051	0	16	15	5	0	7	44766	9011	36630
OTU5330	104	120	125	82315	34821	23838	39708	48028	17164	54	60	34	744	1368	1133	29085	12465	57654
OTU3702	9401	41147	11216	17275	25353	29217	7267	7420	7065	8288	19820	7564	41463	40445	25826	15085	12491	13119
OTU724	4386	3824	4438	71617	29128	44312	19055	25242	10204	6993	7201	5957	3461	2420	3111	31888	12196	41919
OTU2186	461	600	512	80267	24042	23798	36215	95148	4471	529	202	235	16521	15355	9519	4162	3128	10979
OTU1493	6273	26261	1065	42911	18236	30247	17821	25501	7715	181	342	1951	6290	21040	2500	22904	5061	21576
OTU4332	7378	5794	4324	14513	12576	3457	24977	24735	46548	11118	11219	10554	3377	1689	2533	10855	18523	20054
OTU6144	6742	11525	4210	8157	13083	2508	17916	11762	17398	20891	22576	15431	11384	11556	10863	9485	16550	17066
OTU2408	10624	9313	9942	4015	5887	13605	3633	2152	2787	9520	11002	11295	35438	35441	40403	8941	2016	2185
OTU5230	7576	9190	9110	15571	30318	93425	2757	6311	1527	786	877	1756	222	212	176	25488	972	4236
OTU4073	0	0	0	0	2213	1299	3729	4423	70044	0	0	0	0	0	0	2490	101406	20328
OTU4383	1260	0	5442	8348	7167	3752	12079	12574	6635	11034	2975	21383	10425	11250	521	7703	57849	17485
OTU1914	851	175	748	0	0	0	0	57	166	591	1639	695	39809	78878	66725	194	200	55
OTU1081	8193	8164	5536	3471	5430	2013	1856	1800	7000	20589	24045	21192	19998	27059	14824	503	1658	1829
OTU5779	124	97	90	37633	20999	38906	10066	19615	2737	64	7	4	44	67	296	20010	4126	17159
OTU4625	2736	2380	2534	849	683	547	1419	805	1780	4622	5228	4747	57241	25030	45569	1058	657	2332
OTU2897	496	339	325	13854	5684	4582	20323	18731	22465	155	386	465	7460	4314	4897	17308	9808	27110
OTU2895	35457	56159	52272	126	44	63	63	54	37	3809	4303	5126	101	63	84	70	32	76
OTU6316	32350	30216	32772	1883	3010	2967	157	186	288	13214	10295	10865	721	716	918	191	352	228
OTU1094	1452	1429	1658	27550	11746	19522	10149	12684	4263	1235	1437	1107	1162	1105	976	17024	5059	15071
OTU5020	3065	2865	4024	25787	11289	16908	8025	9172	3819	3568	4295	3862	3036	2124	2075	12818	3734	13484
OTU2220	1605	1637	988	16765	6408	7486	11493	13168	9162	1898	1362	1709	5395	4883	5482	21995	4890	9772
OTU586	592	714	893	27232	12930	21860	8347	9485	3381	634	475	701	807	667	839	15816	3108	16715
OTU198	9988	9215	8705	2003	3814	1788	2940	3558	2789	17271	15000	13653	4583	4564	5305	4271	5539	4491
OTU1682	437	369	339	27064	12880	20950	7280	9211	3320	204	151	189	539	405	512	13969	2977	14602
OTU5689	24993	35893	21492	173	257	327	18	40	29	11185	9687	9582	241	395	223	46	24	42
OTU1963	532	568	656	24086	11423	17783	6391	8198	2939	440	560	419	768	559	702	12473	2795	12996
OTU4582	16627	19447	29660	5172	4587	4211	364	852	271	3751	2943	1863	2976	3776	3499	558	210	861
OTU1848	22413	27437	37879	122	261	334	51	82	92	5439	3178	3534	78	150	86	70	117	46
OTU5654	5982	594	1818	6852	6881	12387	7501	6126	2436	5382	4839	21849	2869	3048	1532	5768	1030	2260
OTU4003	24194	29857	40282	9	13	17	4	0	0	1843	981	1304	15	6	9	3	3	0
OTU3678	19721	26840	34299	92	97	176	5	15	16	8144	3972	4358	47	57	38	13	28	10
OTU1749	6863	6600	7042	3912	6639	3729	2134	1642	2742	9637	9775	9801	6302	6196	6509	1739	3844	2177
OTU2889	9990	10684	9281	6432	3219	3372	3329	2496	2147	9888	9299	9391	2225	3372	2116	4307	1787	3183
OTU2574	3241	3248	3724	14962	7583	13372	4171	5351	2167	4741	5456	4684	1353	1616	1451	8443	2004	7233
OTU2029	12276	21205	14965	36	68	159	9	11	6	12461	18528	12578	199	410	231	16	14	11
OTU1989	4991	6230	4246	1744	2654	6117	1184	1251	1414	4630	4296	5170	13055	15548	13332	2542	578	742
OTU3321	6588	7243	6983	5809	10619	14560	585	579	834	6945	6384	5869	3160	4505	3226	1715	1654	954
OTU33	0	0	0	0	0	0	14158	4234	3245	0	0	0	13391	2768	12012	1359	11087	24271
OTU379	2158	2399	3042	14255	6090	8665	4463	5182	2251	6480	5428	4628	1594	1196	1159	6665	2092	7941
OTU6320	6345	9320	6335	9100	3250	4013	5029	4356	2657	5262	2656	6522	2056	2165	1814	3728	1963	7169
OTU1691	15196	18673	25566	1937	3752	1916	260	256	860	3784	2752	2406	1245	1353	1382	216	589	328
OTU4628	0	0	0	0	0	0	20141	15470	12740	0	0	0	0	0	0	12744	13527	6848
OTU445	3399	2784	6189	10991	3330	4487	2973	3530	2067	7702	8842	7270	1316	1063	1499	3270	2300	6836
OTU2683	0	4514	4932	5014	1566	0	6956	2595	10997	9286	7237	0	5798	4394	3425	5189	2006	5882
OTU282	4183	4318	4025	6426	6998	3738	1044	1220	1817	5904	5629	5450	8039	7538	7697	876	1978	1161
OTU1978	7168	7571	6809	922	922	493	1146	773	965	8638	9338	10442	6902	6089	7134	826	708	881
OTU2495	86	154	41	2675	1543	1296	11676	7527	12404	139	158	187	5702	3387	4860	4311	5926	15652
OTU1897	6698	9573	7389	307	535	104	0	0	159	13363	12780	14076	4358	3730	3710	0	0	0
OTU2430	75	17	24	379	426	240	7216	8205	3322	71	82	34	8453	7220	7050	9739	9927	8486
OTU1250	14274	11629	13913	833	1341	2802	127	142	86	7720	7076	7602	431	567	551	649	213	204
OTU693	2201	3036	3164	9111	6262	12467	2598	3138	1146	3743	3640	2949	864	776	732	6774	988	3989
OTU5769	35	148	60	16000	7921	13689	3742	7094	1142	8	10	29	18	26	18	6828	1547	7118
OTU2324	5954	5870	6535	1929	3032	2187	124	375	343	12575	10950	9622	1220	1022	829	329	875	390
OTU1147	2749	2637	3689	5559	2666	3611	1624	2127	1550	6885	7628	6020	2223	2662	2392	2790	1786	3145
OTU2055	1611	1567	1843	10115	4749	8773	2381	2988	1008	1996	2909	1700	3013	3028	2588	5349	1077	4750
OTU4442	543	605	642	12106	4089	3579	7371	6667	2353	391	201	181	708	520	488	7038	2918	8893
OTU473	5231	5504	4215	1452	858	704	755	763	875	9024	8155	10021	3542	2606	2175	746	937	914
OTU4330	4750	4738	5006	1050	1169	2068	564	487	165	7707	5200	7755	3063	4055	3503	1975	160	825
OTU5573	1352	2059	1637	3618	4841	2388	4621	4178	4636	2676	2275	2313	1370	1691	1242	2130	6704	3295
OTU5988	42	588	465	2961	1742	1424	4093	6271	6939	545	1636	1078	7687	2443	4542	2352	2294	4328
OTU6170	334	300	498	7193	3866	3966	5277	5895	3184	820	512	694	1093	972	1046	4729	3078	7781
OTU4583	13117	9538	10892	439	996	1437	27	56	38	4522	4568	4291	193	236	129	254	46	71
OTU5019	8161	8828	9858	273	188	287	53	101	45	7040	6202	7265	245	424	222	92	77	71
OTU5847	4	0	21	10947	5747	11941	2460	5428	785	5	6	0	0	0	5	5475	1202	5357
OTU1052	1042	64	47	128	417	15411	1068	1284	939	1235	624	218	6519	6739	5449	463	5601	1093
OTU1501	2922	2856	2944	4744	3772	2137	1185	891	577	3704	3790	3666	4331	4307	4808	328	736	513
OTU3243	6745	21992	9489	438	529	649	111	101	27	2521	997	2700	154	351	155	205	34	124
OTU3330	9785	9731	17028	349	569	656	94	81	140	3765	1923	2088	198	222	190	104	208	130
OTU2037	51	43	107	312	277	163	1664	1269	1461	154	95	176	13974	8168	12048	1282	1356	1865
OTU3726	7932	7998	10807	386	553	289	65	90	202	4988	3803	3511	472	422	355	117	203	86
