"z","module","p","roles","label","role_7"
-1.2777318393506,"5",0,"Peripherals","","ultra peripheral"
-1.2777318393506,"5",0,"Peripherals","","ultra peripheral"
0.240698107963293,"5",0,"Peripherals","","ultra peripheral"
-1.06829322592799,"5",0.13265306122449,"Peripherals","","peripheral"
-1.64424941284016,"5",0,"Peripherals","","ultra peripheral"
-0.335258078948872,"5",0,"Peripherals","","ultra peripheral"
-1.22537218599495,"5",0.165289256198347,"Peripherals","","peripheral"
-1.22537218599495,"5",0,"Peripherals","","ultra peripheral"
0.188338454607642,"5",0,"Peripherals","","ultra peripheral"
0.450136721385899,"5",0,"Peripherals","","ultra peripheral"
0.502496374741551,"5",0,"Peripherals","","ultra peripheral"
1.96856666869979,"5",0.0285654274312119,"Peripherals","","ultra peripheral"
2.1780052821224,"5",0.169321329639889,"Peripherals","","peripheral"
2.64924216232326,"5",0.109220751942869,"Module hubs","OTU780","provincial hub"
1.75912805527719,"5",0.099510878731658,"Peripherals","","peripheral"
2.33508424218935,"5",0.0721875,"Peripherals","","peripheral"
0.711934988164156,"5",0.0249959942316936,"Peripherals","","ultra peripheral"
0.345417414674596,"5",0.0240928019036288,"Peripherals","","ultra peripheral"
0.345417414674596,"5",0.154731204126165,"Peripherals","","peripheral"
0.345417414674596,"5",0,"Peripherals","","ultra peripheral"
0.659575334808505,"5",0.121437004553888,"Peripherals","","peripheral"
-0.282898425593221,"5",0.154731204126165,"Peripherals","","peripheral"
0.502496374741551,"5",0.13265306122449,"Peripherals","","peripheral"
0.554856028097202,"5",0.158775510204082,"Peripherals","","peripheral"
-0.701775652438433,"5",0.154731204126165,"Peripherals","","peripheral"
0.450136721385899,"5",0.0298438934802571,"Peripherals","","ultra peripheral"
0.659575334808505,"5",0.281183431952663,"Peripherals","","peripheral"
0.502496374741551,"5",0.129243827160494,"Peripherals","","peripheral"
0.607215681452854,"5",0.0294052127422588,"Peripherals","","ultra peripheral"
0.554856028097202,"5",0.156734693877551,"Peripherals","","peripheral"
0.607215681452854,"5",0.229795918367347,"Peripherals","","peripheral"
0.0836191478963391,"5",0.12292243767313,"Peripherals","","peripheral"
0.450136721385899,"5",0,"Peripherals","","ultra peripheral"
0.554856028097202,"5",0,"Peripherals","","ultra peripheral"
-0.59705634572713,"5",0.136245674740484,"Peripherals","","peripheral"
0.293057761318945,"5",0.127603677988366,"Peripherals","","peripheral"
0.0836191478963391,"5",0,"Peripherals","","ultra peripheral"
0.554856028097202,"5",0.381665449233017,"Peripherals","","peripheral"
-0.0211001588149638,"5",0,"Peripherals","","ultra peripheral"
0.135978801251991,"5",0.170879316482734,"Peripherals","","peripheral"
0.659575334808505,"5",0.136245674740484,"Peripherals","","peripheral"
0.554856028097202,"5",0.156734693877551,"Peripherals","","peripheral"
0.450136721385899,"5",0.167313206274245,"Peripherals","","peripheral"
-0.0734598121706153,"5",0.177854938271605,"Peripherals","","peripheral"
0.345417414674596,"5",0.0344721452754694,"Peripherals","","ultra peripheral"
0.450136721385899,"5",0.0246875,"Peripherals","","ultra peripheral"
0.293057761318945,"5",0.154731204126165,"Peripherals","","peripheral"
-0.59705634572713,"5",0,"Peripherals","","ultra peripheral"
0.554856028097202,"5",0.0665873959571938,"Peripherals","","peripheral"
0.554856028097202,"5",0.109220751942869,"Peripherals","","peripheral"
-0.858854612505387,"5",0.129243827160494,"Peripherals","","peripheral"
0.554856028097202,"5",0,"Peripherals","","ultra peripheral"
0.135978801251991,"5",0.173484295105917,"Peripherals","","peripheral"
-0.23053877223757,"5",0.0317377731529657,"Peripherals","","ultra peripheral"
0.135978801251991,"5",0.0246875,"Peripherals","","ultra peripheral"
