"source","target","correlation","direct","cor"
"OTU6009","OTU3048",0.974328745310657,"undirected","+"
"OTU2072","OTU3048",-0.820224114425583,"undirected","-"
"OTU2879","OTU3048",0.877349873294953,"undirected","+"
"OTU3334","OTU3048",0.887005545194948,"undirected","+"
"OTU4472","OTU3048",0.903064130627802,"undirected","+"
"OTU691","OTU3048",0.924497817992725,"undirected","+"
"OTU4015","OTU3048",0.944231889062905,"undirected","+"
"OTU5673","OTU3048",0.982322286013531,"undirected","+"
"OTU2895","OTU3048",0.860206570398766,"undirected","+"
"OTU2897","OTU3048",-0.923010286882324,"undirected","-"
"OTU6316","OTU3048",0.927627292490463,"undirected","+"
"OTU4003","OTU3048",0.886698566421022,"undirected","+"
"OTU1848","OTU3048",0.888290206860188,"undirected","+"
"OTU5689","OTU3048",0.825619383372788,"undirected","+"
"OTU3678","OTU3048",0.88022079899968,"undirected","+"
"OTU4582","OTU3048",0.913734340599125,"undirected","+"
"OTU2220","OTU3048",-0.867480746938392,"undirected","-"
"OTU1691","OTU3048",0.904994053956375,"undirected","+"
"OTU2408","OTU3048",0.84155055208159,"undirected","+"
"OTU2889","OTU3048",0.843312485914773,"undirected","+"
"OTU2495","OTU3048",-0.802422870630872,"undirected","-"
"OTU2029","OTU3048",0.828719395182095,"undirected","+"
"OTU198","OTU3048",0.836831841772859,"undirected","+"
"OTU1250","OTU3048",0.955273707016573,"undirected","+"
"OTU1749","OTU3048",0.836283437358107,"undirected","+"
"OTU4511","OTU3048",-0.873149144047651,"undirected","-"
"OTU3330","OTU3048",0.897128233278074,"undirected","+"
"OTU4583","OTU3048",0.932166308110185,"undirected","+"
"OTU5573","OTU3048",-0.93402524095728,"undirected","-"
"OTU6170","OTU3048",-0.847617541506173,"undirected","-"
"OTU2221","OTU3048",-0.805738941408843,"undirected","-"
"OTU5489","OTU3048",-0.843658245981721,"undirected","-"
"OTU5988","OTU3048",-0.866876396176573,"undirected","-"
"OTU2740","OTU3048",-0.933506450341353,"undirected","-"
"OTU3727","OTU3048",0.878536460837068,"undirected","+"
"OTU3726","OTU3048",0.909937755494602,"undirected","+"
"OTU1989","OTU3048",0.836750228683107,"undirected","+"
"OTU5019","OTU3048",0.905759215027606,"undirected","+"
"OTU1978","OTU3048",0.867631949862076,"undirected","+"
"OTU2741","OTU3048",0.840740138071729,"undirected","+"
"OTU2324","OTU3048",0.955382155518283,"undirected","+"
"OTU1897","OTU3048",0.858508622684552,"undirected","+"
"OTU5536","OTU3048",-0.857355252765869,"undirected","-"
