"z","module","p","roles","label","role_7"
0.208339463026903,"1",0,"Peripherals","","ultra peripheral"
0.537082901439483,"1",0.124307479224377,"Peripherals","","peripheral"
0.372711182233193,"1",0.0270219553387127,"Peripherals","","ultra peripheral"
0.427501755301956,"1",0.388239590942294,"Peripherals","","peripheral"
0.537082901439483,"1",0.0259695290858726,"Peripherals","","ultra peripheral"
0.0439677438206126,"1",0,"Peripherals","","ultra peripheral"
0.48229232837072,"1",0.0263111111111111,"Peripherals","","ultra peripheral"
0.372711182233193,"1",0.464101239669422,"Peripherals","","peripheral"
0.591873474508246,"1",0.0270219553387127,"Peripherals","","ultra peripheral"
0.537082901439483,"1",0.188564682071176,"Peripherals","","peripheral"
0.31792060916443,"1",0.124307479224377,"Peripherals","","peripheral"
0.372711182233193,"1",0,"Peripherals","","ultra peripheral"
0.48229232837072,"1",0.0536686057421655,"Peripherals","","peripheral"
0.372711182233193,"1",0.1728,"Peripherals","","peripheral"
-1.70933059437982,"1",0.0270219553387127,"Peripherals","","ultra peripheral"
0.427501755301956,"1",0.107755102040816,"Peripherals","","peripheral"
0.920616912920827,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
0.427501755301956,"1",0.296124256060386,"Peripherals","","peripheral"
0.372711182233193,"1",0.237034331628926,"Peripherals","","peripheral"
0.48229232837072,"1",0,"Peripherals","","ultra peripheral"
0.591873474508246,"1",0.0263111111111111,"Peripherals","","ultra peripheral"
0.537082901439483,"1",0.123460954629786,"Peripherals","","peripheral"
0.427501755301956,"1",0.329293628808864,"Peripherals","","peripheral"
0.48229232837072,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
0.372711182233193,"1",0.0263111111111111,"Peripherals","","ultra peripheral"
0.427501755301956,"1",0.0270219553387127,"Peripherals","","ultra peripheral"
-2.64077033654879,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
0.208339463026903,"1",0.104938271604938,"Peripherals","","peripheral"
0.920616912920827,"1",0.0281632653061225,"Peripherals","","ultra peripheral"
0.427501755301956,"1",0.300188706633764,"Peripherals","","peripheral"
0.427501755301956,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
-0.120403975385678,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
0.701454620645773,"1",0,"Peripherals","","ultra peripheral"
0.372711182233193,"1",0.163435346899535,"Peripherals","","peripheral"
0.372711182233193,"1",0.0270219553387127,"Peripherals","","ultra peripheral"
-0.0108228292481508,"1",0.0270219553387127,"Peripherals","","ultra peripheral"
0.427501755301956,"1",0,"Peripherals","","ultra peripheral"
0.427501755301956,"1",0.149013878743608,"Peripherals","","peripheral"
0.427501755301956,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
0.263130036095666,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
0.372711182233193,"1",0.226939099385043,"Peripherals","","peripheral"
0.427501755301956,"1",0.0270219553387127,"Peripherals","","ultra peripheral"
0.48229232837072,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
0.0987583168893759,"1",0.0522666666666667,"Peripherals","","peripheral"
-0.120403975385678,"1",0.110726643598616,"Peripherals","","peripheral"
0.208339463026903,"1",0,"Peripherals","","ultra peripheral"
0.427501755301956,"1",0.0281632653061225,"Peripherals","","ultra peripheral"
0.31792060916443,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
-0.613519133004548,"1",0.027391975308642,"Peripherals","","ultra peripheral"
0.372711182233193,"1",0.103140495867769,"Peripherals","","peripheral"
0.427501755301956,"1",0.0270219553387127,"Peripherals","","ultra peripheral"
0.427501755301956,"1",0.0525931336742148,"Peripherals","","peripheral"
0.372711182233193,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
0.263130036095666,"1",0.153875023456558,"Peripherals","","peripheral"
-0.120403975385678,"1",0.177742511406467,"Peripherals","","peripheral"
0.427501755301956,"1",0,"Peripherals","","ultra peripheral"
0.537082901439483,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
0.537082901439483,"1",0.0758310249307479,"Peripherals","","peripheral"
0.427501755301956,"1",0.0259695290858726,"Peripherals","","ultra peripheral"
-0.0656134023169142,"1",0.0266617969320672,"Peripherals","","ultra peripheral"
0.372711182233193,"1",0,"Peripherals","","ultra peripheral"
-0.229985121523204,"1",0.0270219553387127,"Peripherals","","ultra peripheral"
0.48229232837072,"1",0.0317377731529657,"Peripherals","","ultra peripheral"
-0.503937986867021,"1",0.0263111111111111,"Peripherals","","ultra peripheral"
0.31792060916443,"1",0.0344721452754694,"Peripherals","","ultra peripheral"
0.31792060916443,"1",0.177854938271605,"Peripherals","","peripheral"
0.48229232837072,"1",0.106095679012346,"Peripherals","","peripheral"
0.31792060916443,"1",0.0263111111111111,"Peripherals","","ultra peripheral"
-0.339566267660731,"1",0.027391975308642,"Peripherals","","ultra peripheral"
0.0439677438206126,"1",0,"Peripherals","","ultra peripheral"
0.701454620645773,"1",0,"Peripherals","","ultra peripheral"
0.263130036095666,"1",0.312129466431662,"Peripherals","","peripheral"
0.0439677438206126,"1",0,"Peripherals","","ultra peripheral"
-3.24346664030519,"1",0.057919358431722,"Peripherals","","peripheral"
-3.13388549416766,"1",0.124444444444444,"Peripherals","","peripheral"
-1.87370231358611,"1",0.489795918367347,"Peripherals","","peripheral"
-2.20244575199869,"1",0.64,"Connectors","OTU4472","non hub connector"
-2.36681747120498,"1",0.653061224489796,"Connectors","OTU1579","non hub connector"
0.427501755301956,"1",0.5,"Peripherals","","peripheral"
-3.13388549416766,"1",0.466472303206997,"Peripherals","","peripheral"
-3.57221007871777,"1",0,"Peripherals","","ultra peripheral"
4.07590560304467,"2",0,"Module hubs","OTU1749","provincial hub"
-0.500938678062202,"2",0,"Peripherals","","ultra peripheral"
1.63074221998757,"2",0,"Peripherals","","ultra peripheral"
0.878384255970005,"2",0,"Peripherals","","ultra peripheral"
1.00377724997293,"2",0,"Peripherals","","ultra peripheral"
0.94108075297147,"2",0,"Peripherals","","ultra peripheral"
0.94108075297147,"2",0,"Peripherals","","ultra peripheral"
1.0664737469744,"2",0,"Peripherals","","ultra peripheral"
-0.0620631990519542,"2",0,"Peripherals","","ultra peripheral"
1.0664737469744,"2",0.5639500297442,"Peripherals","","peripheral"
1.0664737469744,"2",0.0867768595041323,"Peripherals","","peripheral"
-1.00251065407391,"2",0.3736,"Peripherals","","peripheral"
-0.438242181060738,"2",0.18,"Peripherals","","peripheral"
1.12917024397586,"2",0,"Peripherals","","ultra peripheral"
1.31725973498025,"2",0,"Peripherals","","ultra peripheral"
1.69343871698904,"2",0.176085663295657,"Peripherals","","peripheral"
1.0664737469744,"2",0.554096876414667,"Peripherals","","peripheral"
0.815687758968542,"2",0,"Peripherals","","ultra peripheral"
0.94108075297147,"2",0.165289256198347,"Peripherals","","peripheral"
1.12917024397586,"2",0.517361111111111,"Peripherals","","peripheral"
1.50534922598465,"2",0,"Peripherals","","ultra peripheral"
0.62759826796415,"2",0,"Peripherals","","ultra peripheral"
-0.0620631990519542,"2",0.379839298758218,"Peripherals","","peripheral"
0.752991261967078,"2",0,"Peripherals","","ultra peripheral"
0.752991261967078,"2",0.37878248487006,"Peripherals","","peripheral"
0.878384255970005,"2",0,"Peripherals","","ultra peripheral"
1.00377724997293,"2",0.46875,"Peripherals","","peripheral"
1.88152820799343,"2",0,"Peripherals","","ultra peripheral"
0.815687758968542,"2",0.165289256198347,"Peripherals","","peripheral"
