"source","target","correlation","direct","cor"
"OTU6009","OTU3321",0.875801293442388,"undirected","+"
"OTU1093","OTU3321",-0.88640278697779,"undirected","-"
"OTU2879","OTU3321",0.83385922746479,"undirected","+"
"OTU5673","OTU3321",0.940963390490028,"undirected","+"
"OTU691","OTU3321",0.896564188201942,"undirected","+"
"OTU6260","OTU3321",0.887574608994614,"undirected","+"
"OTU364","OTU3321",-0.806739901631908,"undirected","-"
"OTU6085","OTU3321",0.852180666008282,"undirected","+"
"OTU3180","OTU3321",-0.941614683806516,"undirected","-"
"OTU1081","OTU3321",0.837345634434626,"undirected","+"
"OTU3048","OTU3321",0.857247939628283,"undirected","+"
"OTU4015","OTU3321",0.852726762909742,"undirected","+"
"OTU198","OTU3321",0.878989737318389,"undirected","+"
"OTU2897","OTU3321",-0.862539847140596,"undirected","-"
"OTU1749","OTU3321",0.952405537281001,"undirected","+"
"OTU3334","OTU3321",0.875393141560782,"undirected","+"
"OTU1978","OTU3321",0.901252807011134,"undirected","+"
"OTU1897","OTU3321",0.95138689515329,"undirected","+"
"OTU2430","OTU3321",-0.927515890162129,"undirected","-"
"OTU2889","OTU3321",0.844862669404518,"undirected","+"
"OTU2029","OTU3321",0.855787473896742,"undirected","+"
"OTU2495","OTU3321",-0.821344202252625,"undirected","-"
"OTU473","OTU3321",0.923026692598208,"undirected","+"
"OTU2324","OTU3321",0.898981550815372,"undirected","+"
"OTU6316","OTU3321",0.894274205202835,"undirected","+"
"OTU4330","OTU3321",0.936415441186596,"undirected","+"
"OTU1147","OTU3321",0.843983843421399,"undirected","+"
"OTU5689","OTU3321",0.890349986413364,"undirected","+"
"OTU4890","OTU3321",0.889467477984562,"undirected","+"
"OTU856","OTU3321",0.916220017695893,"undirected","+"
"OTU1250","OTU3321",0.8844068300695,"undirected","+"
"OTU3725","OTU3321",0.89275880043557,"undirected","+"
"OTU6327","OTU3321",0.883257038865139,"undirected","+"
"OTU4328","OTU3321",0.844985101641865,"undirected","+"
"OTU5019","OTU3321",0.88311190521049,"undirected","+"
"OTU4953","OTU3321",0.872586937161487,"undirected","+"
"OTU3320","OTU3321",0.991270904403744,"undirected","+"
"OTU1693","OTU3321",0.883194338261604,"undirected","+"
"OTU4088","OTU3321",0.887624988306294,"undirected","+"
"OTU2740","OTU3321",-0.840858379006072,"undirected","-"
"OTU3678","OTU3321",0.846396265586934,"undirected","+"
"OTU4542","OTU3321",0.966400366589632,"undirected","+"
"OTU2504","OTU3321",0.887882643249052,"undirected","+"
"OTU4817","OTU3321",0.88638508109445,"undirected","+"
"OTU1715","OTU3321",0.850605542689178,"undirected","+"
"OTU1691","OTU3321",0.959473473233338,"undirected","+"
"OTU4583","OTU3321",0.883913566677352,"undirected","+"
"OTU3726","OTU3321",0.904785924078667,"undirected","+"
"OTU3080","OTU3321",0.900611260134321,"undirected","+"
"OTU2471","OTU3321",0.917533208916894,"undirected","+"
"OTU3232","OTU3321",0.899756920815894,"undirected","+"
"OTU2895","OTU3321",0.846201843985795,"undirected","+"
"OTU3074","OTU3321",0.889712851070636,"undirected","+"
"OTU3333","OTU3321",0.910357319504766,"undirected","+"
"OTU1848","OTU3321",0.868066560943632,"undirected","+"
"OTU2999","OTU3321",0.891252216396748,"undirected","+"
"OTU2815","OTU3321",0.898207809154065,"undirected","+"
"OTU4935","OTU3321",0.818517568688451,"undirected","+"
"OTU1663","OTU3321",0.884841435159151,"undirected","+"
"OTU342","OTU3321",0.915364559237013,"undirected","+"
"OTU2888","OTU3321",-0.887776506325292,"undirected","-"
"OTU3475","OTU3321",0.893677153005573,"undirected","+"
"OTU1272","OTU3321",0.806875152947795,"undirected","+"
"OTU5447","OTU3321",0.927123397061999,"undirected","+"
"OTU3330","OTU3321",0.853404665567012,"undirected","+"
"OTU6177","OTU3321",0.891696813715874,"undirected","+"
"OTU3439","OTU3321",0.953875483991775,"undirected","+"
"OTU3750","OTU3321",0.883963676018836,"undirected","+"
"OTU1507","OTU3321",0.895488062559557,"undirected","+"
"OTU527","OTU3321",0.855915362919657,"undirected","+"
"OTU1644","OTU3321",0.856032134620805,"undirected","+"
"OTU3331","OTU3321",0.885716655046712,"undirected","+"
"OTU1453","OTU3321",0.870216443733786,"undirected","+"
"OTU3742","OTU3321",0.923155139914425,"undirected","+"
"OTU6010","OTU3321",0.826422595884121,"undirected","+"
"OTU3727","OTU3321",0.881561469899739,"undirected","+"
