"ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean","Label"
"OTU6009","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga_baltica",282379.777777778,"OTU6009"
"OTU1093","Archaea","Thaumarchaeota","Unclassified","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus_adriaticus",95753,"OTU1093"
"OTU2879","Bacteria","Planctomycetes","Unclassified","Unclassified","Unclassified","Unclassified","Planctomycetes_bacterium_TBK1r",44618.7777777778,"OTU2879"
"OTU5673","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Arenibacter","Arenibacter_algicola",33333.4444444444,"OTU5673"
"OTU691","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Sulfitobacter","Sulfitobacter_sp._SK011",29526.6666666667,"OTU691"
"OTU6260","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus","Halioglobus_pacificus",27457.3333333333,"OTU6260"
"OTU364","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gimesia","Gimesia_maris",33430.4444444444,"OTU364"
"OTU6085","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Sulfitobacter","Sulfitobacter_mediterraneus",21488.5555555556,"OTU6085"
"OTU3180","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gimesia","Gimesia_chilikensis",21776.5555555556,"OTU3180"
"OTU1081","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified","uncultured_Rhodobacteraceae_bacterium",14633,"OTU1081"
"OTU3048","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aureibaculum","Aureibaculum_algae",16955.4444444444,"OTU3048"
"OTU4015","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_macleodii",10328.6666666667,"OTU4015"
"OTU198","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","uncultured_bacterium_ws172H5",8297.44444444445,"OTU198"
"OTU2897","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Symmachiella","Symmachiella_dynata",7989.22222222222,"OTU2897"
"OTU1749","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified","Flavobacteriaceae_bacterium",6220,"OTU1749"
"OTU3334","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","Algibacter_sp._L3A6",6790.88888888889,"OTU3334"
"OTU1978","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Parvibaculaceae","Anderseniella","Anderseniella_sp._Alg231-50",5662,"OTU1978"
"OTU1897","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga_sp.",5779.66666666667,"OTU1897"
"OTU2430","Archaea","Thaumarchaeota","Unclassified","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus_sp._b3",5673.55555555556,"OTU2430"
"OTU2889","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Stieleria","Stieleria_neptunia",5063.11111111111,"OTU2889"
"OTU2029","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unclassified","Unclassified","Cytophagales_bacterium_TFI_002",4938.66666666667,"OTU2029"
"OTU2495","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Methyloceanibacter","Methyloceanibacter_sp._wino2",4480.22222222222,"OTU2495"
"OTU473","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktomarina","Planktomarina_temperata",4235.55555555556,"OTU473"
"OTU2324","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Olleya","Olleya_sp._Bg11-27",4201.33333333333,"OTU2324"
"OTU6316","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga_lytica",4166.66666666667,"OTU6316"
"OTU4330","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Qipengyuania","Qipengyuania_psychrotolerans",3804.77777777778,"OTU4330"
"OTU1147","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Actibacterium","Actibacterium_sp._EMB200-NS6",3947.88888888889,"OTU1147"
"OTU5689","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Zobellia","Zobellia_galactanivorans",3491.66666666667,"OTU5689"
"OTU4890","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Congregibacter","Congregibacter_litoralis",2911.44444444444,"OTU4890"
"OTU856","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus_yeei",2619,"OTU856"
"OTU1250","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter_sp._1_2014MBL_MicDiv",2779.22222222222,"OTU1250"
"OTU3725","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Olleya","Olleya_sp._HaHaR_3_96",2623.88888888889,"OTU3725"
"OTU6327","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","Dokdonia_sp._4H-3-7-5",2509.11111111111,"OTU6327"
"OTU4328","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Qipengyuania","Qipengyuania_gelatinilytica",2156.22222222222,"OTU4328"
"OTU5019","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseobacter","Roseobacter_litoralis",2404.22222222222,"OTU5019"
