"","KO","Means","SD"
"num.edges",3855,3855,0
"num.pos.edges",3221,0,0
"num.neg.edges",634,0,0
"num.vertices",193,193,0
"connectance",0.208063471502591,0.208063471502591,0
"average.degree",39.9481865284974,39.9481865284974,0
"average.path.length",2.06359809588615,1.79210546200345,0.000105366612648808
"diameter",5.90095801065353,2.95,0.21904291355759
"edge.connectivity",0,25.38,1.65009947664627
"clustering.coefficient",0.839414346648732,0.208018070596199,0.00154277312460982
"no.clusters",2,1,0
"centralization.degree",0.250269861830743,0.082509445164076,0.0127210868761961
"centralization.betweenness",0.0925355662867825,0.00406067825854224,0.000778945146298628
"centralization.closeness",1.15211734466209,0.0541620020918698,0.00883282066789999
