"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU2879",70,0.461165048543689,40.3499038285438,70
"OTU5673",76,0.490956072351421,46.2156670497678,76
"OTU691",73,0.494791666666667,18.7131722769457,73
"OTU3180",74,0.526315789473684,1009.43721969868,74
"OTU3048",76,0.498687664041995,89.3818871954994,76
"OTU4015",67,0.447058823529412,28.9239312082885,67
"OTU198",75,0.510752688172043,52.1663919724307,75
"OTU1749",88,0.536723163841808,1825.53664010059,88
"OTU3334",73,0.506666666666667,29.1993299929872,73
"OTU1897",77,0.502645502645503,119.201092301064,77
"OTU2430",76,0.490956072351421,46.2156670497678,76
"OTU2889",72,0.465686274509804,26.1364830546813,72
"OTU2029",73,0.510752688172043,273.472741953209,73
"OTU473",75,0.494791666666667,69.8699307926478,75
"OTU2324",73,0.494791666666667,21.5902342847152,73
"OTU445",35,0.416666666666667,928.603809529672,35
"OTU6316",74,0.49738219895288,33.9324855543563,74
"OTU3321",83,0.52924791086351,517.795430438659,83
"OTU4330",74,0.50531914893617,218.178296614217,74
"OTU1147",73,0.47979797979798,35.4443161025943,73
"OTU5689",75,0.510752688172043,52.1663919724307,75
"OTU4890",77,0.503978779840849,71.5492256086145,77
"OTU856",76,0.503978779840849,302.78091570664,76
"OTU1250",74,0.508021390374332,45.0788224366999,74
"OTU3725",75,0.510752688172043,52.1663919724307,75
"OTU6327",73,0.506666666666667,29.1993299929872,73
"OTU5019",74,0.508021390374332,60.0093690414097,74
"OTU1419",18,0.386965376782077,84.5168620623266,18
"OTU4953",70,0.477386934673367,10.5586141537136,70
"OTU3320",83,0.526315789473684,343.320565422623,83
"OTU1693",74,0.508021390374332,35.9305715958912,74
"OTU4088",74,0.508021390374332,32.6546953529507,74
"OTU3678",64,0.441860465116279,12.4974308958742,64
"OTU4542",79,0.520547945205479,157.622148213567,79
"OTU2504",73,0.506666666666667,29.1993299929872,73
"OTU4817",73,0.506666666666667,29.1993299929872,73
"OTU1715",66,0.444964871194379,13.9966234999433,66
"OTU1691",74,0.492227979274611,137.539233219921,74
"OTU4583",74,0.508021390374332,45.0788224366999,74
"OTU3726",74,0.49738219895288,33.9324855543563,74
"OTU3080",71,0.493506493506494,99.3267818973166,71
"OTU2471",73,0.494791666666667,18.7131722769457,73
"OTU3232",74,0.49738219895288,33.9324855543563,74
"OTU2895",75,0.509383378016086,71.5014884124527,75
"OTU3074",68,0.490956072351421,73.3533856577656,68
"OTU2357",64,0.452380952380952,271.810490083257,64
"OTU1848",70,0.475,26.0182208971557,70
"OTU2999",74,0.49738219895288,33.9324855543563,74
"OTU2815",72,0.493506493506494,16.0990172206699,72
"OTU670",55,0.440835266821346,929.634864899761,55
"OTU1663",73,0.506666666666667,29.1993299929872,73
"OTU342",74,0.496083550913838,51.8575260972205,74
"OTU2888",74,0.508021390374332,32.6546953529507,74
"OTU3475",73,0.48469387755102,49.9244353479268,73
"OTU5447",71,0.487179487179487,83.765979317057,71
"OTU3330",64,0.441860465116279,12.4974308958742,64
"OTU6177",74,0.508021390374332,32.6546953529507,74
"OTU3439",76,0.509383378016086,103.307954044417,76
"OTU3750",76,0.512129380053908,70.2776605579494,76
"OTU1507",74,0.49738219895288,55.4545799266439,74
"OTU527",65,0.44392523364486,13.5413967405073,65
"OTU1644",73,0.502645502645503,42.1371817642996,73
"OTU5435",62,0.440835266821346,194.396697483813,62
"OTU3331",75,0.509383378016086,52.3160675330058,75
"OTU2139",57,0.438799076212471,158.771776263031,57
"OTU3742",72,0.496083550913838,421.616339843646,72
"OTU6010",72,0.473815461346633,197.40466175381,72
