OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella_exigua
OTU2	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Unclassified	Unclassified	uncultured_Verrucomicrobiales_bacterium
OTU3	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora_maris
OTU4	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified	Vibrio_phage_qdvp001
OTU5	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia_iterans
OTU6	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Marivirgaceae	Marivirga	Marivirga_tractuosa
OTU7	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria_weihenstephanensis
OTU8	Archaea	Thaumarchaeota	Unclassified	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	Candidatus_Nitrosarchaeum_limnium
OTU9	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas_(ex_Stolz_et_al._2005)	Pusillimonas_sp._T7-7
OTU10	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton	Chloroherpeton_thalassium
OTU11	Bacteria	Bacteroidetes	Saprospiria	Saprospirales	Saprospiraceae	Saprospira	Saprospira_grandis
OTU12	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Jeongeupia	Jeongeupia_sp._HS-3
OTU13	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_mizutaii
OTU14	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_pseudograminearum
OTU15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_oryzae
OTU16	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanomethylovorans	Methanomethylovorans_hollandica
OTU17	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_asperellum
