Taxonomy	CK_Day10	CK_Day25	AOM_Day10	AD_Day10	AOM_Day25	AD_Day25
OTU1	1	1	0	1	1	1
OTU2	0	0	1	1	1	0
OTU3	0	1	0	0	1	1
OTU4	0	1	0	0	1	0
OTU5	0	0	0	0	1	1
OTU6	0	0	0	0	0	1
OTU7	1	0	0	0	0	0
OTU8	0	1	0	0	1	1
OTU9	0	0	1	1	0	0
OTU10	0	1	1	0	1	1
OTU11	1	1	1	1	1	1
OTU12	0	0	0	0	1	1
OTU13	0	0	0	0	1	0
OTU14	1	1	0	1	0	1
OTU15	0	1	0	0	1	1
OTU16	0	0	0	0	0	1
OTU17	1	0	0	0	0	1
OTU18	0	0	0	0	1	0
OTU19	1	0	1	1	0	0
OTU20	0	1	1	0	1	1
OTU21	1	1	0	1	1	1
OTU22	0	0	0	0	0	1
OTU23	0	0	0	0	0	1
OTU24	0	0	0	1	0	1
OTU25	0	1	1	1	0	0
OTU26	0	0	0	0	1	1
OTU27	0	0	1	1	0	0
OTU28	0	0	1	0	1	0
OTU29	1	1	1	1	1	1
OTU30	0	0	0	0	1	1
OTU31	0	0	0	0	0	0
OTU32	0	0	0	0	1	0
OTU33	0	0	0	0	1	0
OTU34	1	0	0	0	0	0
OTU35	0	1	0	0	0	1
OTU36	0	0	1	1	1	1
OTU37	1	1	1	1	1	1
OTU38	1	1	1	1	1	1
OTU39	1	1	1	1	1	1
OTU40	1	1	1	1	1	1
OTU41	0	0	0	0	1	0
OTU42	0	0	0	1	0	0
OTU43	1	0	0	0	1	1
OTU44	1	0	0	0	0	0
OTU45	0	1	1	0	1	1
OTU46	0	1	0	0	1	1
OTU47	1	1	1	1	1	1
OTU48	0	1	1	1	1	1
OTU49	0	0	0	0	0	0
OTU50	0	0	1	0	0	0
OTU51	1	1	0	0	1	0
OTU52	1	1	1	1	1	1
OTU53	0	0	0	0	1	1
OTU54	1	1	1	1	1	1
OTU55	1	1	0	1	1	1
OTU56	1	1	1	1	1	1
OTU57	0	1	1	0	1	1
OTU58	1	1	1	1	1	1
OTU59	1	1	1	1	1	1
OTU60	1	1	1	0	0	1
OTU61	0	0	0	0	1	1
OTU62	1	1	1	1	1	1
OTU63	0	0	1	0	0	0
OTU64	0	0	0	0	0	1
OTU65	0	0	0	0	0	0
OTU66	0	1	1	1	0	0
OTU67	1	1	1	1	1	1
OTU68	1	1	1	1	1	1
OTU69	1	1	1	1	1	1
