GeneFamily	AD12	AD22	AD32	CK12	CK22	CK32
K00001	0	0.228	0	1.297	2.76	1.272
K00003	146.48	118.683	66.825	22.454	48.558	104.686
K00005	0	2.505	0	0	0	1.384
K00007	0	0	0	0	0	0.361
K00008	1.008	0	0.877	1.331	7.888	3.69
K00009	0	0	0	0	0	1.322
K00010	3.495	8.929	16.107	4.566	12.552	7.338
K00012	72.043	89.089	71.698	258.29	138.285	141.983
K00013	139.494	135.553	88.342	44.682	99.199	145.641
K00014	19.817	18.3	15.247	4.178	7.381	4.434
K00015	31.598	48.267	86.039	20.382	46.391	44.943
K00016	0	0	0	0	0	5.326
K00018	0.249	0.291	2.039	2.813	2.85	1.082
K00019	151.915	123.504	141.486	36.328	86.131	82.713
K00020	274.129	171.776	141.614	34.473	132.725	166.951
K00021	0.361	0.862	2.102	0.858	0	0
K00023	215.368	188.406	195.855	61.778	178.121	241.366
K00024	187.488	299.8	190.823	216.661	468.844	440.114
K00027	33.15	25.847	30.48	2.434	28.653	38.386
K00029	145.777	152.899	123.619	95.549	211.73	225.258
K00030	0	3.681	2.416	2.513	0	9.261
K00031	140.219	174.36	102.433	335.521	296.454	349.04
K00033	15.975	20.395	19.091	23.106	50.098	48.13
K00036	238.383	173.597	192.25	35.231	107.015	128.21
K00039	0	4.417	0	0	0	2.282
K00040	0	0	0	0	0	0.336
K00041	0	0	0	0	0	0.663
K00042	2.197	3.069	2.255	4.134	4.742	17.683
K00043	1.572	0	0	0.913	0	3.171
K00045	69.166	35.091	33.854	5.511	30.754	36.209
K00046	36.503	81.444	46.603	45.151	76.845	66.199
K00048	0	0	0	0	0	1.322
K00050	0	0	0.114	0	0	0
K00052	167.837	274.002	169.805	134.134	346.321	355.213
K00053	430.742	468.152	361.117	213.004	471.631	576.855
K00054	3.542	2.83	9.451	6.796	14.172	5.318
K00055	0	2.967	0	0	0	0
K00057	63.34	78.278	76.105	50.165	92.846	83.546
K00058	100.986	134.724	178.586	85.452	188.936	216.99
K00059	493.55	487.659	460.341	187.887	474.064	489.354
K00060	142.374	93.162	87.67	29.278	68.866	103.007
K00065	23.815	31.753	17.214	15.046	41.933	51.58
K00066	0	0	0	0	5.717	8.344
K00067	21.448	69.562	128.781	27.757	42.304	27.614
K00074	131.888	164.988	124.642	383.503	313.625	258.119
K00075	36.944	42.934	88.317	19.428	32.363	30.98
K00076	26.98	57.736	79.973	15.078	14.337	14.741
K00077	1.663	4.244	2.887	6.716	12.45	21.21
K00086	0	0	0	0	0	1.302
K00087	0	0	0	0	0	1.025
K00088	223.289	275.845	249.177	405.866	407.443	395.24
K00090	0	0	0	0	0	2.667
K00091	4.772	9.115	7.899	5.105	10.306	18.358
K00096	0	0	0	0	6.778	0
K00097	42.301	50.293	44.25	22.433	42.787	49.932
K00099	107.433	55.925	52.124	4.792	47.528	41.226
K00100	2.723	0.988	4.776	2.483	5.958	5.843
K00101	184.264	169.268	209.508	40.485	122.636	157.431
K00102	142.412	115.131	132.071	15.213	48.723	61.235
K00104	138.525	120.48	132.886	32.917	96.913	103.965
K00108	218.716	167.092	208.237	34.379	116.356	119.962
K00111	82.919	60.199	51.503	18.468	72.32	67.203
K00112	0	0	0	0	0	0.373
K00113	0	0	0	0	0	1.691
K00114	28.156	17.416	17.966	9.683	25.687	26.196
K00116	0.302	0.178	0.093	2.143	7.429	2.892
K00117	0	0	0	1.161	3.86	0.59
K00118	0	0	2.631	1.833	0	0
